product_id		attribute_id		attribute_value
1243816001		shop_the_look_0		1241650002;;1102638005;;1242391001
1243816001		shop_the_look_1		1271847001;;1218892001;;1243591002
1248145001		shop_the_look_0		1243102001;;1028327002;;1028327003
1248145001		shop_the_look_1		1242182001;;1249151001;;1244375001
1248145001		shop_the_look_2		1242908002;;1261726001;;1246549001
1254085001		shop_the_look_0		1256319001;;1230606001;;1230602001
1242910001		shop_the_look_0		1242179001;;1242890001;;1191468001
1242910001		shop_the_look_1		1133880007;;1028327003;;1028327002
1242910001		shop_the_look_2		1240595001;;1230578001;;1230603001
1244434001		shop_the_look_0		1244394002;;1258754001;;1219193003
1244434001		shop_the_look_1		1218892001;;1233583001;;1247098001
1230603001		shop_the_look_0		1196177001;;1242179001;;1242890001
1230603001		shop_the_look_1		1133880007;;1028327003;;1028327002
1230603001		shop_the_look_2		1238716002;;1187052008;;1220422003
1242198001		shop_the_look_0		1244359001;;1161887002;;1219886001
1242198001		shop_the_look_1		1240595001;;1255047001;;1230603001
1129676012		shop_the_look_0		1243637001;;1243617001;;1244374001
1129676012		shop_the_look_1		1240754001;;1253994003;;1240595001
1161887010		shop_the_look_0		1196881001;;1221494001;;1238168002
1161887010		shop_the_look_1		1240595001;;1240754001;;1230607002
1244443001		shop_the_look_0		1251659001;;1244394002;;1242189001
1244443001		shop_the_look_1		1257585001;;1275616001;;1238876001
1187057005		shop_the_look_0		1271460001;;1248496002;;1234962001
1187057005		shop_the_look_1		1230602001;;1231662001;;1195882001
1265077001		shop_the_look_0		1178447002;;1247673001;;1256002002
1265077001		shop_the_look_1		0984692003;;1245539001;;1261873001
1265077001		shop_the_look_2		1238880001;;1218892001;;1271847001
1257171001		shop_the_look_0		1244363001;;1266221001
1257171001		shop_the_look_1		1230597001;;1233583001;;1240595001
1257816001		shop_the_look_0		1246085001;;1255822003;;1069400016
1257816001		shop_the_look_1		1252170002;;1243931001;;1242178001
1257816001		shop_the_look_2		1242191001;;1227468002;;1225473001
1244654002		shop_the_look_0		1241198001;;1241792003;;1271738001
1244654002		shop_the_look_1		1247098001;;1249821001;;1194860001
1223518005		shop_the_look_0		1250546001;;1250560001;;1243116001
1223518005		shop_the_look_1		1239979001;;1230606001;;1253994001
1237956001		shop_the_look_0		1241132001;;1244394002;;1235443001
1237956001		shop_the_look_1		1247098001;;1225212001;;1271847001
1245207003		shop_the_look_0		1271748001;;1260832001;;1242831001
1245207003		shop_the_look_1		1230597002;;1240595001;;1239979003
1235161001		shop_the_look_0		1219886001;;1236533001;;1244359001
1235161001		shop_the_look_1		1240595001;;1230603001;;1239979001
1184404001		shop_the_look_0		1248999001;;1241198001;;1242189001
1184404001		shop_the_look_1		1230615005;;1195882001;;1256319001
1258500003		shop_the_look_0		0989040070;;1242782001;;1245743003
1258500003		shop_the_look_1		1252421003;;1240634001;;1215841002
1258500003		shop_the_look_2		1238880001;;1190729001;;1190723001
1213736001		shop_the_look_0		1241788001;;1241349002;;1094272001
1213736001		shop_the_look_1		1230578001;;1240595001;;1190723001
1227180003		shop_the_look_0		1248999001;;1242912001;;1258151003
1227180003		shop_the_look_1		1230595001;;1275614001;;1230603001
1229902002		shop_the_look_0		1241349002;;1242909001;;1241788001
1229902002		shop_the_look_1		1230603001;;1240595001;;1240754001
